I am using the following nodes: sn[094,106]
My job ID is: 415836
/gpfs/home/borwang
NUM CPUs 28
/gpfs/home/borwang
NUM CPUs 28
ID       Population  PopulationVariation  Compactness
817      672262       19668               0.7769516728624535
816      718646       26716               0.7592592592592593
2571     693789       1859                0.5697674418604651
994      678667       13263               0.7569721115537849
991      749454       57524               0.601063829787234
1480     717397       25467               0.6300813008130082
2842     670622       21308               0.6644736842105263
121      632274       59656               0.7225130890052356
2026     677263       14667               0.6901408450704225
2025     672235       19695               0.6857142857142857
1642     794041       102111              0.7272727272727273
1640     610998       80932               0.7530864197530864
2762     687111       4819                0.7371428571428571
1897     712268       20338               0.6442953020134228
All clusters acceptable after: 148 iterations.
ID       Population  PopulationVariation  Compactness
372      776301       84371               0.8122743682310469
2057     684021       7909                0.6759776536312849
2338     691648       282                 0.6497175141242938
705      628750       63180               0.6373056994818653
769      706202       14272               0.8305084745762712
765      603331       88599               0.8010752688172043
2937     793891       101961              0.7556270096463023
2935     657396       34534               0.7857142857142857
1502     754506       62576               0.6209150326797386
1491     689129       2801                0.6614583333333333
1481     719155       27225               0.42500000000000004
1972     636338       55592               0.6651376146788991
2001     621936       69994               0.6666666666666667
2007     724423       32493               0.6026490066225165
All clusters acceptable after: 118 iterations.
ID       Population  PopulationVariation  Compactness
367      618848       73082               0.7892156862745098
2300     780738       88808               0.8057851239669421
1950     709304       17374               0.8043478260869565
151      660154       31776               0.651006711409396
977      726700       34770               0.8178137651821862
2553     726221       34291               0.6666666666666667
1117     689161       2769                0.7027027027027026
1879     736762       44832               0.7241379310344828
2935     795040       103110              0.8058608058608059
2940     660819       31111               0.7063492063492063
258      622463       69467               0.7936507936507937
59       626206       65724               0.5683453237410072
2610     600073       91857               0.6057692307692308
2607     734538       42608               0.5159574468085106
All clusters acceptable after: 173 iterations.
ID       Population  PopulationVariation  Compactness
2324     610253       81677               0.6933333333333334
1890     613534       78396               0.5276073619631902
2400     763088       71158               0.650887573964497
2502     752984       61054               0.651063829787234
2499     637585       54345               0.689873417721519
400      670377       21553               0.8365758754863813
295      626230       65700               0.7209302325581395
820      793932       102002              0.6816479400749064
822      676686       15244               0.9056603773584906
3040     615695       76235               0.619718309859155
1525     786314       94384               0.7552742616033755
2833     653414       38516               0.8809523809523809
2530     757630       65700               0.6680497925311204
2531     729305       37375               0.6533333333333333
All clusters acceptable after: 118 iterations.
ID       Population  PopulationVariation  Compactness
2330     683429       8501                0.7549019607843137
1640     657305       34625               0.6363636363636364
1644     614178       77752               0.6993464052287581
2068     627607       64323               0.6828193832599119
938      680500       11430               0.8021978021978022
861      779938       88008               0.8470588235294118
1030     662259       29671               0.81640625
71       685526       6404                0.6875  
1057     732214       40284               0.6269430051813472
30       726104       34174               0.7262569832402235
1765     690252       1678                0.7637362637362637
2819     767059       75129               0.6912751677852349
634      790837       98907               0.6990291262135923
674      589819       102111              0.6687116564417178
All clusters acceptable after: 152 iterations.
ID       Population  PopulationVariation  Compactness
996      613086       78844               0.8629441624365483
266      711216       19286               0.6536585365853659
524      781394       89464               0.74822695035461
1491     637703       54227               0.728813559322034
885      640243       51687               0.8130434782608695
329      661449       30481               0.7932692307692308
2803     694069       2139                0.635036496350365
2526     673689       18241               0.6308411214953271
2522     761600       69670               0.6436170212765957
2094     740540       48610               0.7725118483412322
1641     674344       17586               0.8418079096045198
1644     721888       29958               0.72    
2747     642261       49669               0.7342342342342343
