I am using the following nodes: cn[097-098]
My job ID is: 418104
/gpfs/home/borwang
NUM CPUs 24
/gpfs/home/borwang
NUM CPUs 24
ID       Population  PopulationVariation  Compactness
345      707825       15895               0.7005649717514124
2993     693934       2004                0.827027027027027
951      697366       5436                0.7679324894514767
492      684768       7162                0.808695652173913
567      682573       9357                0.6577540106951871
2372     680118       11812               0.6869918699186992
1204     705989       14059               0.8262411347517731
835      695766       3836                0.8678414096916299
2345     680782       11148               0.6490384615384616
2097     689699       2231                0.6375  
2756     683177       8753                0.6850828729281768
2553     701651       9721                0.6497175141242938
2923     678724       13206               0.6666666666666667
2974     704655       12725               0.7112676056338028
ID       Population  PopulationVariation  Compactness
1957     683136       8794                0.6609195402298851
2901     697688       5758                0.8156028368794326
760      674672       17258               0.8280542986425339
2973     704071       12141               0.5950920245398773
2035     705927       13997               0.7051282051282051
2026     686191       5739                0.6414141414141414
1867     686300       5630                0.6706586826347305
80       684902       7028                0.642156862745098
942      703615       11685               0.7553648068669527
1818     680576       11354               0.5961538461538461
2836     702912       10982               0.8142076502732241
2826     709018       17088               0.7039473684210527
964      675598       16332               0.7965367965367965
1006     692421       491                 0.7216494845360825
ID       Population  PopulationVariation  Compactness
1838     677463       14467               0.6129032258064516
841      707746       15816               0.8551401869158879
2727     677980       13950               0.7311827956989247
958      689838       2092                0.7490636704119851
1043     696625       4695                0.7322175732217573
497      704204       12274               0.8774703557312253
608      692955       1025                0.5729729729729729
17       681489       10441               0.6238532110091743
1695     708089       16159               0.631578947368421
1690     677066       14864               0.7888888888888889
1457     704461       12531               0.7456647398843931
1820     680502       11428               0.6625  
2762     699733       7803                0.5588235294117647
2761     688876       3054                0.5979899497487438
ID       Population  PopulationVariation  Compactness
825      680405       11525               0.8371040723981901
2692     675706       16224               0.6947368421052631
675      691338       592                 0.7     
1768     708025       16095               0.676056338028169
942      704519       12589               0.8178438661710037
317      692875       945                 0.8571428571428572
741      688907       3023                0.6273584905660378
2522     701445       9515                0.6666666666666667
2887     686777       5153                0.7875  
2822     683069       8861                0.7073170731707317
2215     702350       10420               0.6890756302521008
2212     707389       15459               0.4976525821596244
2183     682184       9746                0.7263157894736842
2182     682038       9892                0.6684782608695652
ID       Population  PopulationVariation  Compactness
1702     675563       16367               0.681592039800995
1773     686767       5163                0.6596858638743455
1845     706861       14931               0.7014925373134329
2565     686150       5780                0.6452991452991452
280      706462       14532               0.6728971962616823
727      688922       3008                0.8650793650793651
904      695619       3689                0.875   
1770     696270       4340                0.6212121212121212
2963     689999       1931                0.6790697674418604
2974     705120       13190               0.7272727272727273
2460     684577       7353                0.653179190751445
2457     675288       16642               0.5947712418300654
925      684779       7151                0.7565543071161048
985      704650       12720               0.7044025157232705
ID       Population  PopulationVariation  Compactness
2585     678721       13209               0.631336405529954
887      684128       7802                0.75    
1803     686279       5651                0.6753246753246753
1808     703537       11607               0.45999999999999996
621      689108       2822                0.8693877551020408
1979     691063       867                 0.6647727272727273
655      691788       142                 0.5913461538461539
1628     697308       5378                0.6564102564102564
2602     706987       15057               0.6647058823529413
2779     692847       917                 0.5189873417721519
1639     687015       4915                0.7150837988826816
171      675889       16041               0.7262569832402235
1236     703519       11589               0.8677685950413223
1225     698838       6908                0.6666666666666667
ID       Population  PopulationVariation  Compactness
1378     699205       7275                0.6354166666666667
1164     677547       14383               0.8761061946902655
2189     707814       15884               0.6847290640394088
2199     698595       6665                0.6721311475409837
694      700961       9031                0.5575221238938053
1491     688481       3449                0.5655172413793104
